file,chars,tokens,chars_per_token
src/app/globals.css,8883,2906,3.06
src/app/layout.tsx,1413,340,4.16
src/app/page.tsx,25259,6391,3.95
src/components/BlogArticleForm.tsx,4059,999,4.06
src/components/ConfirmSubmitButton.tsx,537,133,4.04
src/components/RichTextEditor.tsx,1141,302,3.78
src/components/SiteHeader.tsx,3857,975,3.96
src/components/SupabaseProvider.tsx,631,145,4.35
src/lib/cn.ts,164,35,4.69
src/lib/money.ts,269,74,3.64
src/lib/prisma.ts,318,80,3.98
src/lib/validation.ts,3715,928,4.00
src/types/react-quill-new.d.ts,454,110,4.13
src/app/[slug]/AvailabilityCalendar.tsx,13817,3249,4.25
src/app/[slug]/page.tsx,3018,708,4.26
src/app/admin/layout.tsx,2232,567,3.94
src/app/admin/page.tsx,26406,6155,4.29
src/app/blog/page.tsx,6141,1368,4.49
src/app/bookings/page.tsx,21341,5563,3.84
src/app/expenses/layout.tsx,668,160,4.17
src/app/expenses/page.tsx,44480,9456,4.70
src/app/knowledge-hub/KnowledgeHubContent.tsx,10991,2531,4.34
src/app/knowledge-hub/layout.tsx,677,163,4.15
src/app/knowledge-hub/page.tsx,2326,557,4.18
src/app/login/LoginForm.tsx,13940,3169,4.40
src/app/login/page.tsx,1779,421,4.23
src/app/logout/route.ts,1402,339,4.14
src/app/responsive-test/page.tsx,6463,1630,3.97
src/components/datagrid/ColumnVisibility.ts,990,253,3.91
src/components/datagrid/ResponsiveTable.tsx,15880,3590,4.42
src/components/forms/Form.tsx,5194,1252,4.15
src/components/forms/index.ts,24,6,4.00
src/components/navigation/AppShell.tsx,6183,1535,4.03
src/components/ui/Container.tsx,1371,387,3.54
src/components/ui/Drawer.tsx,5312,1279,4.15
src/components/ui/Input.tsx,915,214,4.28
src/components/ui/PageHeader.tsx,3289,703,4.68
src/components/ui/ResponsiveGrid.tsx,1976,586,3.37
src/components/ui/Select.tsx,1075,255,4.22
src/components/ui/Textarea.tsx,856,204,4.20
src/components/ui/index.ts,198,44,4.50
src/lib/auth/actionAuth.ts,1166,259,4.50
src/lib/auth/backfill.ts,6038,1361,4.44
src/lib/auth/capabilities.ts,340,80,4.25
src/lib/auth/config.ts,1187,293,4.05
src/lib/auth/ensureUser.ts,5294,1180,4.49
src/lib/auth/getMemberships.ts,263,64,4.11
src/lib/auth/getPropertyMemberships.ts,559,125,4.47
src/lib/auth/inviteTokens.ts,268,67,4.00
src/lib/auth/propertyMembership.ts,1766,418,4.22
src/lib/auth/routeAuth.ts,1424,325,4.38
src/lib/supabase/client.ts,410,89,4.61
src/lib/supabase/server.ts,1753,398,4.40
